Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2017,Cardinals,96,96,95,101,100,96,95,97,98,101,101,102,102,98
2017,Padres,97,98,92,99,99,95,96,100,102,101,98,102,98,99
2017,Giants,96,98,93,101,99,120,86,99,100,101,96,99,98,94
2018,Angels,98,99,99,99,95,84,100,102,98,100,100,98,100,100
2018,Orioles,102,102,99,102,96,87,105,98,100,101,103,99,101,104
2018,Red Sox,105,103,104,103,114,104,96,99,99,102,98,103,101,99
2018,White Sox,98,99,97,99,95,96,103,103,101,99,102,98,102,101
2018,Indians,104,101,106,102,106,85,102,100,101,102,97,102,92,100
2018,Tigers,101,103,97,100,98,120,100,96,99,100,104,101,105,101
2018,Royals,102,101,103,101,106,113,92,97,99,101,100,102,95,98
2018,Twins,101,101,100,102,103,103,102,98,100,102,100,101,101,101
2018,Yankees,100,99,106,100,95,83,112,101,101,98,102,100,105,102
2018,Athletics,97,97,92,99,102,108,93,98,99,100,100,100,101,98
2018,Mariners,96,96,93,97,94,87,100,103,99,97,102,96,104,98
2018,Rays,96,96,97,99,94,97,96,103,100,97,99,99,105,97
2018,Rangers,109,112,116,104,102,120,104,98,103,101,101,104,100,104
2018,Blue Jays,100,99,98,98,105,102,102,100,99,100,99,98,97,101
2018,Diamondbacks,100,101,103,101,99,130,99,100,102,100,98,104,101,99
2018,Braves,101,101,106,102,101,92,96,99,99,101,99,102,101,99
2018,Cubs,100,102,104,99,99,105,100,100,102,100,99,100,97,100
2018,Reds,102,103,106,98,100,95,108,104,103,98,100,99,102,102
2018,Rockies,115,115,112,109,112,135,111,96,102,106,99,105,89,106
2018,Marlins,95,95,88,99,96,103,90,99,100,101,99,98,95,97
2018,Astros,97,98,99,97,96,105,101,102,98,100,97,97,100,99
2018,Dodgers,96,96,94,96,100,75,101,100,94,99,100,96,104,98
2018,Brewers,101,101,101,98,100,94,107,102,100,99,100,100,97,101
2018,Nationals,102,104,106,103,103,83,100,100,101,99,103,100,97,102
2018,Mets,94,92,87,95,94,86,97,101,100,97,100,97,109,98
2018,Phillies,100,103,102,98,96,94,109,105,100,99,101,97,109,102
2018,Pirates,98,98,94,102,101,95,93,97,100,102,98,103,99,100
2018,Cardinals,96,96,97,101,100,96,95,97,98,101,101,102,102,98
2018,Padres,97,95,102,99,99,95,96,100,102,101,98,102,98,99
2018,Giants,96,94,101,101,99,120,86,99,100,101,96,99,98,94
2019,Angels,98,99,101,100,96,88,98,102,97,101,100,98,100,100
2019,Orioles,102,102,104,101,96,87,106,98,100,101,102,100,100,104
2019,Red Sox,105,103,103,103,112,103,95,99,99,102,97,103,101,99
2019,White Sox,98,99,98,98,95,93,105,102,103,98,101,98,105,101
2019,Indians,104,101,99,101,106,83,102,100,100,101,97,101,92,100
2019,Tigers,101,103,105,101,99,123,101,96,100,100,104,101,105,101
2019,Royals,102,101,103,101,105,114,92,97,99,100,101,101,95,98
2019,Twins,101,101,99,103,103,104,101,98,99,102,101,102,100,101
2019,Yankees,100,99,91,99,95,83,112,101,100,98,102,98,102,102
2019,Athletics,97,97,95,99,102,113,94,98,99,100,102,100,105,98
2019,Mariners,96,96,98,98,96,85,99,103,99,97,102,97,107,98
2019,Rays,96,96,95,99,94,100,96,103,100,98,100,100,104,97
2019,Rangers,109,112,111,103,100,109,101,98,104,100,100,103,98,104
2019,Blue Jays,100,99,101,97,108,97,103,100,99,99,99,100,98,101
2019,Diamondbacks,100,101,99,100,106,127,104,100,100,101,100,101,93,99
2019,Braves,101,101,100,101,102,92,99,100,97,100,100,103,101,99
2019,Cubs,100,102,97,100,100,103,101,101,102,100,99,101,97,100
2019,Reds,102,103,102,98,100,91,108,104,102,98,100,98,102,102
2019,Rockies,115,115,118,109,109,132,110,95,102,107,99,107,90,106
2019,Marlins,95,95,104,99,98,108,90,99,101,101,99,97,95,97
2019,Astros,97,98,104,98,96,109,102,103,99,100,98,98,100,99
2019,Dodgers,96,96,96,97,99,77,100,100,94,99,100,96,102,98
2019,Brewers,101,101,99,99,101,96,108,101,101,99,100,101,97,101
2019,Nationals,102,104,105,104,102,81,97,99,100,100,102,101,98,102
2019,Mets,94,92,95,95,96,86,99,102,101,97,101,98,110,98
2019,Phillies,100,103,102,98,97,95,111,104,101,99,101,97,108,102
2019,Pirates,98,98,100,102,99,96,92,97,99,102,98,104,99,100
2019,Cardinals,96,96,96,100,99,96,95,97,98,100,101,101,103,98
2019,Padres,97,95,93,98,96,96,96,101,100,100,98,99,97,99
2019,Giants,96,94,90,100,99,122,86,100,101,101,97,98,98,94
